City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,shihezi,44.3,86.0333,3.92,51,100,5.34,CN,1701931580
332,pamandzi,-12.7967,45.2794,28.88,74,0,3.09,YT,1701931581
333,bredasdorp,-34.5322,20.0403,23.25,56,0,3.16,ZA,1701931582
334,puerto ayora,-0.7393,-90.3518,23.75,85,95,3.34,EC,1701931584
335,tshabong,-26.05,22.45,30.47,24,32,7.36,BW,1701931585
336,balakhta,55.38,91.6,-20.79,92,100,4.86,RU,1701931586
337,maragogi,-9.0122,-35.2225,24.02,86,34,2.95,BR,1701931588
338,dalandzadgad,43.5708,104.425,8.45,27,14,14.31,MN,1701931589
339,pasuquin,18.3328,120.6177,29.97,70,40,6.69,PH,1701931837
340,sandnessjoen,66.0217,12.6316,0.23,69,75,3.09,NO,1701931839
341,aginskoye,51.1,114.53,-17.08,93,100,3.83,RU,1701931842
342,qaqortoq,60.7167,-46.0333,1.85,61,100,4.74,GL,1701931843
343,martakert,40.2104,46.821,11.25,64,100,0.8,AZ,1701931846
344,nuuk,64.1835,-51.7216,-1.72,62,98,5.43,GL,1701931847
345,nueva concepcion,14.2,-91.3,22.59,76,60,1.89,GT,1701931848
346,cowra,-33.8333,148.6833,31.11,26,95,7.89,AU,1701931850
347,borzya,50.3833,116.5167,-16.17,95,100,5.44,RU,1701931851
348,novodvinsk,64.4165,40.8122,-28.14,97,25,1.61,RU,1701931802
349,priob'ye,62.5206,65.5964,-35.66,94,6,2.61,RU,1701931853
350,jambi city,-1.6,103.6167,33.09,49,100,1.32,ID,1701931855
351,khorixas,-20.3667,14.9667,26.29,35,2,2.27,NA,1701931856
352,azzano decimo,45.8831,12.7131,3.87,90,40,2.06,IT,1701931857
353,kodinsk,58.6881,99.1844,-32.53,87,51,1.75,RU,1701931860
354,fyodorovka,53.6314,62.7078,-22.31,84,19,3.79,KZ,1701931861
355,chernyshevskiy,63.0128,112.4714,-42.68,100,90,0.27,RU,1701931770
356,ambon,-3.6954,128.1814,30.08,74,40,2.57,ID,1701931811
357,katsuren-haebaru,26.3369,127.8719,22.21,46,0,4.63,JP,1701931865
358,portland,45.5234,-122.6762,9.69,95,100,5.36,US,1701931866
359,bumba,2.1833,22.4667,22.75,95,99,1.37,CD,1701931868
